"PROVINCIA_FALLECIMIENTO","ratio"
"ABANCAY",1.27695167286245
"ACOBAMBA",1.12994350282486
"ACOMAYO",0.977272727272727
"AIJA",0.956521739130435
"ALTO AMAZONAS",1.53021978021978
"AMBO",1.3758865248227
"ANDAHUAYLAS",1.50556792873051
"ANGARAES",1.65868263473054
"ANTA",1.02083333333333
"ANTABAMBA",1.02325581395349
"ANTONIO RAIMONDI",1.20754716981132
"AREQUIPA",1.6369407496977
"ASCOPE",1.61702127659574
"ASUNCION",0.602150537634409
"ATALAYA",1.09090909090909
"AYABACA",1.02114803625378
"AYMARAES",1.44444444444444
"AZANGARO",1.34511434511435
"BAGUA",1.97159090909091
"BARRANCA",1.92198581560284
"BELLAVISTA",1.66346153846154
"BOLIVAR",0.743589743589744
"BOLOGNESI",1.12765957446809
"BONGARA",0.942028985507246
"CAJABAMBA",1.11397058823529
"CAJAMARCA",1.58488063660477
"CAJATAMBO",0.571428571428571
"CALCA",1.16450216450216
"CALLAO",2.10520738722374
"CAMANA",0.931972789115646
"CANAS",1.05769230769231
"CANCHIS",1.13137254901961
"CANDARAVE",1.41176470588235
"CANGALLO",1.15929203539823
"CANTA",0.868421052631579
"CAÑETE",1.74044032444959
"CARABAYA",1.34905660377358
"CARAVELI",1.70769230769231
"CARHUAZ",1.16666666666667
"CARLOS FERMIN FITZCARRALD",1.40677966101695
"CASMA",2.20610687022901
"CASTILLA",1.29245283018868
"CASTROVIRREYNA",0.944444444444444
"CAYLLOMA",2.93457943925234
"CELENDIN",1.25287356321839
"CHACHAPOYAS",1.08059701492537
"CHANCHAMAYO",1.47504025764895
"CHEPEN",1.89937106918239
"CHICLAYO",1.91108312342569
"CHINCHA",2.17125984251969
"CHINCHEROS",1.09565217391304
"CHOTA",1.109375
"CHUCUITO",4.78823529411765
"CHUMBIVILCAS",1.0516717325228
"CHUPACA",1.44607843137255
"CHURCAMPA",1
"CONCEPCION",2.19191919191919
"CONDESUYOS",1.46
"CONDORCANQUI",2.46153846153846
"CONTRALMIRANTE VILLAR",1.25454545454545
"CONTUMAZA",1.51666666666667
"CORONEL PORTILLO",1.82074987159733
"CORONGO",1.13636363636364
"COTABAMBAS",1.29054054054054
"CUSCO",1.24559232910609
"CUTERVO",0.879120879120879
"DANIEL ALCIDES CARRION",1.05172413793103
"DATEM DEL MARAÑON",24.75
"DOS DE MAYO",0.91869918699187
"EL COLLAO",1.64903846153846
"EL DORADO",2.42028985507246
"ESPINAR",1.1042471042471
"FERREÑAFE",1.68695652173913
"GENERAL SANCHEZ CERRO",1.60714285714286
"GRAN CHIMU",1.24358974358974
"GRAU",1.203125
"HUACAYBAMBA",1.43137254901961
"HUALGAYOC",0.425
"HUALLAGA",1.45054945054945
"HUAMALIES",1.13966480446927
"HUAMANGA",1.39228834870075
"HUANCA SANCOS",1.15384615384615
"HUANCABAMBA",1.25581395348837
"HUANCANE",1.18240343347639
"HUANCAVELICA",1.38324420677362
"HUANCAYO",1.36763412489006
"HUANTA",1.91666666666667
"HUANUCO",1.46613545816733
"HUARAL",1.72669220945083
"HUARAZ",1.47233606557377
"HUARI",0.911347517730496
"HUARMEY",1.06569343065693
"HUAROCHIRI",1.49171270718232
"HUAURA",2.00600240096038
"HUAYLAS",1.31696428571429
"HUAYTARA",1.43636363636364
"ICA",1.5357432981316
"ILO",1.73285198555957
"ISLAY",1.61538461538462
"JAEN",3.42657342657343
"JAUJA",1.16700610997963
"JORGE BASADRE",0.826086956521739
"JULCAN",1.39622641509434
"JUNIN",1.06015037593985
"LA CONVENCION",1.21495327102804
"LA MAR",1.27016129032258
"LA UNION",1.05
"LAMAS",0.947552447552448
"LAMBAYEQUE",2.06306306306306
"LAMPA",1.43636363636364
"LAURICOCHA",1.37142857142857
"LEONCIO PRADO",1.77777777777778
"LIMA",2.17087465006148
"LORETO",5.61904761904762
"LUCANAS",1.29661016949153
"LUYA",1.5
"MANU",1.18181818181818
"MARAÑON",1.27027027027027
"MARISCAL CACERES",2.30188679245283
"MARISCAL LUZURIAGA",1.03157894736842
"MARISCAL NIETO",2.20822622107969
"MARISCAL RAMON CASTILLA",1.10909090909091
"MAYNAS",1.95656894679696
"MELGAR",1.19540229885057
"MOHO",1.25405405405405
"MORROPON",1.63921568627451
"MOYOBAMBA",1.53456221198157
"NAZCA",1.52142857142857
"OCROS",2
"OTUZCO",1.39147286821705
"OXAPAMPA",1.47029702970297
"OYON",1.33333333333333
"PACASMAYO",1.88501742160279
"PACHITEA",1.3
"PADRE ABAD",1.03333333333333
"PAITA",2.12602739726027
"PALLASCA",1.03191489361702
"PALPA",1.13793103448276
"PARINACOCHAS",0.789473684210526
"PARURO",0.84375
"PASCO",1.7373417721519
"PATAZ",0.864321608040201
"PAUCAR DEL SARA SARA",0.451612903225806
"PAUCARTAMBO",1.18881118881119
"PICOTA",2.04225352112676
"PISCO",1.75743348982786
"PIURA",2.05385015608741
"POMABAMBA",1.13223140495868
"PUERTO INCA",1.4375
"PUNO",1.38818181818182
"QUISPICANCHI",0.967741935483871
"RECUAY",1.01408450704225
"REQUENA",1.91304347826087
"RIOJA",1.25515463917526
"RODRIGUEZ DE MENDOZA",1.17647058823529
"SAN ANTONIO DE PUTINA",1.03314917127072
"SAN IGNACIO",1.57857142857143
"SAN MARCOS",1.06703910614525
"SAN MARTIN",1.46642468239564
"SAN MIGUEL",0.946236559139785
"SAN PABLO",0.869047619047619
"SAN ROMAN",1.38423098278734
"SANCHEZ CARRION",1.30293159609121
"SANDIA",0.81437125748503
"SANTA",1.89157155399473
"SANTA CRUZ",1.11111111111111
"SANTIAGO DE CHUCO",1.11042944785276
"SATIPO",1.28761061946903
"SECHURA",1.70967741935484
"SIHUAS",0.993243243243243
"SIN REGISTRO",1.08510638297872
"SUCRE",1.43243243243243
"SULLANA",1.74570883661793
"TACNA",1.46964643095397
"TAHUAMANU",3.14285714285714
"TALARA",1.98461538461538
"TAMBOPATA",1.60869565217391
"TARATA",1.15
"TARMA",1.27095516569201
"TAYACAJA",1.11138613861386
"TOCACHE",1.74452554744526
"TRUJILLO",1.67671691792295
"TUMBES",1.69239904988124
"UCAYALI",1.74683544303797
"URUBAMBA",1.21551724137931
"UTCUBAMBA",1.52158273381295
"VICTOR FAJARDO",1.2
"VILCAS HUAMAN",1.06451612903226
"VIRU",2.24463519313305
"YAROWILCA",1.2289156626506
"YAULI",0.958620689655172
"YAUYOS",1.63157894736842
"YUNGAY",1.05485232067511
"YUNGUYO",1.44021739130435
"ZARUMILLA",2.15116279069767
